ID,Q1a_Services_offered_by_Tempe,Q1b_Appearance_of_the_city,Q1c_Image_of_the_city,Q1d_How_well_city_planning_growth,Q1e_Quality_of_life_in_the_city,Q1f_Feeling_of_safety_in_the_city,Q1g_Efforts_to_promote_diversity,Q1h_Direction_city_is_heading,Q1i_Leadership_of_elected_officials,Q1j_Public_involvement-decision_making,Q1k_Ethical_employees_conduct_business,Q1l_Citys_sustainability_programs,Q1m_Efforts_to_keep_residents_informed,Q1n_Opportunities_to_express_ideas/views,Q2a_Condition_streets,Q2b_Condition_sidewalks,Q2c_Maintainence_of_private_property,Q2d_Condition_of_alley,Q2e_Feeling_of_safety,Q2f_Quality_neighborhood_park,Q2g_Adequacy_of_street_lighting,Q3_1st_Choice,Q3_2nd,Q4_Rate_condition_of_your_neighborhood,Q6_Services/Facility_used_past_12_mo,Q6_2nd_,Q6_3rd_,Q6_4th_,Q6_5th_,Q6_6th_,Q6_7th_,Q6_8th_,Q6_9th_,Q6-10th_,Q6-11th_,Q6_12th_,Q6_13th_,Q6_14th_,Q6_15th_,Q7a_Quality_of_larger_City_parks,Q7b_Recreaction/multigen_centers,Q7c_Swimming_pools_and_programs,Q7d_Outdoor_athletic_fields,Q7e_Programs_for_youth,Q7f_Programs_for_adults,Q7g_City_golf_courses,Q7h_Tempe_Center_for_the_Arts,Q7i_Tempe_History_Museum,Q7j_Library_facilities,Q7k_Disability_access_to_City_programs,Q8_1st_Choice,Q8_2nd,Q9a_Library_services,Q9b_Condition_of_City_streets,Q9c_Condition_and_clarity_street_signs,Q9d_Local_transit_service,Q9e_Management_of_traffic_flow,Q9f_Walking/biking_paths,Q9g_Availability_of_information,Q9h_Enforces_property_maint_codes,Q9i_Landscape_maintenance_sreet/sidewalk,Q9j_Appearance_residental_property,Q9k_Appearance_commercial_property,Q9l_Cleanliness_city_streets,Q9m_Residential_trash_collection,Q9n_Recycling_services,Q9o_Bulky_item_pick_up/removal_services,Q9p_Water_service,Q9q_Local_police_services,Q9r_Enforcement_of_traffic_laws,Q9s_Local_fire_services,Q9t_Efforts_by_City_to_prevent_crime,Q9u_Recreation_programs/services,Q9v_Maintenance_city_parks,Q10_1st_Choice,Q10_2nd,Q10_3rd,Q11_Social/human_services_used,Q11_2nd,Q11_3rd,Q11_4th,Q11_5th,Q11_6th,Q11_7th,Q11_8th,Q11_9th,Q12_1st_Choice,Q12_2nd,Q12_3rd,Q13_Get_information_do_you_use,Q13__2nd,Q13__3rd,Q13__4th,Q13__5th,Q13__6th,Q13__7th,Q13__8th,Q13__9th,Q13_10th,Q13_11th,Q13a_1st_Choice,Q13a_2nd,Q13a_3rd,Q14a_Contacted_the_city_past_12_mo,Q14b_How_easy_city_was_to_contact,Q14c_Way_you_were_treated,Q14d_Accuracy_of_information_given,Q14e_How_quickly_responded_to_request,Q14f_How_well_issue_was_handled,Q15_1st_Priority,Q15__2nd,Q15__3rd,Q15__4th,Q15__5th,Q15__6th,Q15__7th,Q15__8th,Q18a_How_many_years_lived_in_Tempe,Q18b_What_is_your_age,Q18c_Gender,Q18d_Used_public_transit_past_year,Q18e_Are_you_full-time_student,Q18f_Own_or_rent,Q18g_Does_home_have_alley,Q18h_Highest_level_of_education,Q18i_Describe_your_home,Q18j_Have_cable_TV,Q18j-Have_internet_access_home,Q1j-A_smart_phone,Q18k_Visited_downtown_during_past_year,Q18l_Race/ethnicity,Q18l_2nd,Q18l_3rd,Q18l_4th,Q18l_5th,Q18l_Other,Q1_Attend_events_downtownand_the_Lake,Q1a_How_many_times_attended_Downtown,Q1a-Town_Lake,Q2_Impact_special_events_have_community,Q5_How_satisfied_with_events,Q6_Long_range_planning,Q6__2nd,Q6__3rd,Q6__4th,Q6__5th,Q6__6th,Q6__7th,Q6__8th,Q6__9th,Q6_10th,Q6_11th,Q6_Other,Zip,OBJECTID
467,4,4.0,4,3,4,4,4,3,3,3,4,3,3,3,2,3,3,2,4,4,3,A,D,3,2,3.0,7.0,12.0,13.0,14.0,,,,,,,,,,9.0,9,9,9,9,9,9,9,9,9,9,Z,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,Z,,,0,,,,,,,,,0,,,0.0,,,,,,,,,,,0,,,2,,,,,,0.0,,,,,,,,9,9,1,9,9,9,9,9,9,9,9,9,9,0,,,,,,1,1.0,2.0,5,4.0,2.0,3.0,6.0,,,,,,,,,,85283.0,466
468,4,4.0,4,9,4,4,5,4,4,9,4,9,9,4,2,4,4,4,4,4,4,E,A,4,2,6.0,11.0,,,,,,,,,,,,,4.0,9,9,9,9,9,9,4,5,5,9,A,H,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,T,Q,S,0,,,,,,,,,0,,,2.0,4.0,7.0,,,,,,,,,0,,,1,5.0,5.0,5.0,5.0,5.0,8.0,12.0,,,,,,,3,5,2,1,2,1,1,4,1,2,2,2,1,2,,,,,,2,,,4,9.0,1.0,2.0,8.0,,,,,,,,,,85281.0,467
469,5,5.0,5,5,5,5,4,5,5,4,5,5,5,5,5,2,5,9,5,5,5,B,,4,2,3.0,4.0,14.0,,,,,,,,,,,,5.0,5,4,4,4,4,4,4,5,5,5,Z,,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,Z,,,0,,,,,,,,,0,,,1.0,2.0,4.0,5.0,7.0,,,,,,,0,,,1,5.0,5.0,5.0,5.0,5.0,0.0,,,,,,,,5,6,2,2,2,1,2,5,1,1,1,1,1,5,,,,,,1,1.0,2.0,5,4.0,1.0,6.0,10.0,,,,,,,,,,85284.0,468
470,3,4.0,4,3,5,5,3,3,3,2,1,3,3,3,3,3,1,3,5,2,4,F,A,4,2,14.0,,,,,,,,,,,,,,4.0,3,2,3,3,3,9,9,9,4,9,C,F,4,4,4,4,1,3,3,1,3,4,4,4,3,4,5,4,3,1,3,3,3,2,E,V,R,0,,,,,,,,,1,6.0,7.0,5.0,8.0,,,,,,,,,,5,8.0,7.0,1,3.0,3.0,2.0,2.0,2.0,3.0,11.0,,,,,,,5,5,1,2,2,1,1,4,1,2,1,2,1,2,,,,,,2,,,9,1.0,2.0,8.0,,,,,,,,,,,85281.0,469
471,5,4.0,4,3,4,4,4,4,9,9,4,4,4,4,4,4,4,4,4,5,5,F,,5,2,3.0,4.0,5.0,6.0,7.0,11.0,12.0,15.0,,,,,,,5.0,5,9,4,9,5,5,5,5,5,9,Z,,5,4,4,5,2,5,5,5,5,4,4,4,5,9,5,5,5,5,5,5,9,5,Z,,,0,,,,,,,,,0,,,1.0,5.0,7.0,9.0,,,,,,,,9,5.0,1.0,1,5.0,5.0,5.0,5.0,5.0,2.0,8.0,,,,,,,5,5,2,1,2,1,2,4,1,2,1,1,1,2,,,,,,1,3.0,3.0,4,4.0,2.0,4.0,8.0,10.0,,,,,,,,,85281.0,470
472,5,5.0,5,4,5,4,5,4,4,5,4,5,5,5,5,5,4,4,5,5,4,Z,,4,3,11.0,14.0,,,,,,,,,,,,,9.0,9,9,9,9,9,9,9,9,9,9,D,H,5,5,4,5,5,9,4,9,9,3,4,5,5,5,5,9,9,9,9,4,9,5,Z,,,0,,,,,,,,,0,,,0.0,,,,,,,,,,,0,,,2,,,,,,0.0,,,,,,,,5,7,2,1,2,1,2,4,1,1,1,1,2,1,,,,,,2,,,9,9.0,2.0,3.0,6.0,,,,,,,,,,85281.0,471
473,4,3.0,4,4,5,4,4,2,4,4,3,9,3,3,4,4,4,9,4,4,4,Z,,4,0,,,,,,,,,,,,,,,5.0,9,9,4,4,5,9,5,5,5,9,Z,,5,4,4,3,2,9,2,9,4,4,4,2,4,4,4,2,4,4,4,4,4,4,Z,,,2,,,,,,,,,4,7.0,6.0,2.0,4.0,5.0,8.0,9.0,,,,,,,0,,,1,5.0,5.0,5.0,5.0,5.0,1.0,10.0,,,,,,,5,6,2,1,2,1,1,4,1,2,1,1,1,5,,,,,,1,1.0,2.0,5,5.0,2.0,4.0,,,,,,,,,,,85282.0,472
474,5,4.0,5,4,5,4,5,4,4,4,4,9,4,4,4,3,3,9,4,4,4,B,C,5,3,4.0,8.0,11.0,,,,,,,,,,,,4.0,9,9,9,9,9,4,5,9,9,9,G,A,9,4,4,4,3,3,3,2,4,4,4,4,4,4,4,4,4,3,4,4,3,4,F,E,H,0,,,,,,,,,0,,,1.0,5.0,8.0,9.0,,,,,,,,6,8.0,9.0,2,,,,,,2.0,11.0,,,,,,,5,5,1,1,2,1,2,4,1,1,1,1,1,2,,,,,,1,5.0,3.0,5,5.0,1.0,7.0,10.0,,,,,,,,,,85284.0,473
475,5,5.0,5,4,4,3,9,4,4,4,5,3,4,5,5,5,4,5,3,3,5,F,C,4,2,3.0,4.0,7.0,10.0,11.0,12.0,14.0,15.0,,,,,,,5.0,5,3,9,4,4,9,5,5,5,5,A,J,5,5,5,4,4,5,4,4,4,4,5,5,5,5,5,5,5,4,5,4,5,4,E,R,V,0,,,,,,,,,0,,,5.0,8.0,9.0,10.0,,,,,,,,8,,,1,5.0,5.0,5.0,5.0,5.0,2.0,7.0,,,,,,,5,4,1,1,2,1,1,4,1,2,1,1,1,2,,,,,,2,,,4,4.0,1.0,2.0,10.0,,,,,,,,,,85282.0,474
476,5,5.0,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,2,E,A,4,1,2.0,3.0,4.0,6.0,9.0,10.0,14.0,,,,,,,,5.0,5,5,9,5,9,9,9,9,5,9,C,A,5,4,5,5,5,5,5,9,5,5,5,5,5,5,5,5,5,5,5,4,5,5,T,S,Q,6,9.0,,,,,,,,9,2.0,3.0,2.0,5.0,6.0,7.0,,,,,,,,6,5.0,2.0,1,4.0,5.0,5.0,5.0,5.0,6.0,8.0,,,,,,,4,4,1,2,2,1,1,3,1,2,1,2,1,5,,,,,,1,0.0,2.0,5,5.0,1.0,8.0,10.0,,,,,,,,,,85282.0,475
477,4,4.0,5,4,5,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,C,E,3,2,3.0,4.0,7.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,,,,,4.0,4,4,9,5,5,9,5,5,5,4,A,C,5,4,5,4,4,4,4,3,4,3,4,4,4,5,5,5,4,4,5,4,5,4,H,J,I,0,,,,,,,,,7,1.0,5.0,2.0,5.0,6.0,8.0,9.0,,,,,,,6,8.0,2.0,2,,,,,,1.0,8.0,,,,,,,5,4,2,1,2,1,9,4,1,2,1,2,1,2,,,,,,2,,,5,5.0,2.0,10.0,10.0,,,,,,,,,,85282.0,476
478,4,4.0,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,C,F,4,8,11.0,14.0,,,,,,,,,,,,,4.0,4,4,4,3,4,4,3,4,3,4,H,,3,3,4,4,3,3,4,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,J,H,B,0,,,,,,,,,0,,,1.0,5.0,7.0,9.0,,,,,,,,0,,,1,4.0,4.0,4.0,4.0,4.0,6.0,11.0,,,,,,,5,7,2,2,2,1,1,4,1,1,1,2,1,3,,,,,,2,,,4,9.0,1.0,2.0,4.0,8.0,,,,,,,,,85281.0,477
479,9,5.0,5,9,4,5,9,9,9,9,4,4,4,4,5,5,5,4,5,5,5,A,B,5,2,3.0,4.0,11.0,,,,,,,,,,,,9.0,9,9,9,4,9,9,9,5,5,5,J,F,5,5,5,5,4,4,4,4,5,5,5,5,5,5,5,5,5,5,4,9,9,5,Z,,,0,,,,,,,,,0,,,5.0,7.0,,,,,,,,,,0,,,2,,,,,,4.0,9.0,,,,,,,4,6,1,1,2,1,1,5,1,2,1,2,1,1,,,,,,9,,,9,9.0,6.0,8.0,10.0,,,,,,,,,,85284.0,478
480,5,5.0,5,5,5,5,5,5,5,9,9,5,5,5,3,5,4,5,5,9,4,A,C,4,2,3.0,4.0,6.0,7.0,11.0,12.0,14.0,,,,,,,,5.0,5,9,9,9,5,9,5,5,5,9,J,,5,3,4,4,4,4,5,3,4,4,4,5,5,5,5,5,5,3,5,4,4,4,Z,,,0,,,,,,,,,7,9.0,3.0,2.0,5.0,6.0,7.0,9.0,11.0,,,,,,5,9.0,7.0,2,,,,,,3.0,11.0,,,,,,,5,6,1,2,2,1,1,5,1,1,1,1,1,2,,,,,,1,2.0,0.0,4,5.0,1.0,4.0,10.0,,,,,,,,,,85282.0,479
481,5,5.0,5,5,5,5,5,5,5,5,9,9,5,9,5,5,4,5,4,5,5,E,F,5,2,3.0,4.0,5.0,6.0,8.0,10.0,13.0,14.0,,,,,,,5.0,4,4,5,5,5,5,5,5,5,5,D,A,5,5,5,9,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,B,C,E,9,,,,,,,,,0,,,2.0,5.0,,,,,,,,,,5,6.0,,2,,,,,,7.0,11.0,,,,,,,5,4,2,2,2,1,2,4,1,1,1,1,1,2,,,,,,1,1.0,2.0,5,5.0,1.0,2.0,8.0,,,,,,,,,,85284.0,480
482,4,4.0,3,3,4,4,3,3,3,3,3,4,3,3,3,3,4,9,4,4,4,A,G,4,2,3.0,4.0,8.0,11.0,14.0,,,,,,,,,,3.0,3,3,4,3,3,4,3,3,3,9,C,D,3,3,3,4,3,3,3,2,3,2,2,3,5,4,5,4,4,2,3,3,3,3,K,J,F,0,,,,,,,,,0,,,5.0,8.0,,,,,,,,,,8,,,1,4.0,4.0,4.0,4.0,4.0,6.0,11.0,,,,,,,5,3,1,1,2,1,2,3,1,1,1,1,1,2,,,,,,1,2.0,1.0,4,4.0,1.0,8.0,10.0,,,,,,,,,,85283.0,481
483,5,5.0,5,4,5,5,3,3,4,3,4,3,2,3,5,5,4,4,5,5,5,C,D,5,3,4.0,5.0,8.0,10.0,14.0,,,,,,,,,,5.0,9,9,3,9,9,4,4,4,5,5,Z,,4,5,5,3,4,4,4,2,4,4,4,4,5,5,4,4,4,4,5,4,4,4,Z,,,0,,,,,,,,,2,7.0,8.0,1.0,2.0,4.0,5.0,7.0,8.0,11.0,,,,,0,,,1,4.0,5.0,5.0,5.0,5.0,5.0,11.0,,,,,,,5,5,1,1,2,1,2,4,1,1,1,2,1,2,,,,,,1,2.0,0.0,5,4.0,1.0,2.0,8.0,10.0,,,,,,,,,85284.0,482
484,4,4.0,4,9,4,3,4,4,4,9,9,5,3,9,4,2,4,9,3,3,4,B,E,4,2,3.0,4.0,10.0,12.0,,,,,,,,,,,4.0,9,9,9,4,4,9,5,4,9,4,E,A,4,3,4,9,4,4,2,3,3,4,4,4,4,4,2,3,4,4,4,9,4,4,Q,S,A,0,,,,,,,,,9,7.0,6.0,5.0,7.0,8.0,,,,,,,,,6,8.0,5.0,2,,,,,,4.0,9.0,,,,,,,2,3,2,2,2,1,2,5,1,1,1,1,1,2,,,,,,1,1.0,1.0,4,4.0,6.0,8.0,10.0,,,,,,,,,,85284.0,483
485,4,4.0,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,9,4,4,4,C,E,4,2,3.0,11.0,14.0,,,,,,,,,,,,5.0,4,4,4,4,4,4,5,4,4,4,E,J,4,4,4,4,3,5,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,R,E,K,0,,,,,,,,,7,9.0,6.0,1.0,4.0,6.0,7.0,8.0,10.0,11.0,,,,,1,8.0,4.0,1,4.0,4.0,4.0,4.0,4.0,2.0,11.0,,,,,,,4,4,1,1,2,1,2,4,1,1,1,1,1,2,,,,,,1,1.0,1.0,5,5.0,1.0,5.0,8.0,,,,,,,,,,85284.0,484
486,3,3.0,2,2,3,3,3,9,9,2,4,9,3,5,4,2,9,3,3,2,2,E,G,4,1,2.0,3.0,4.0,10.0,11.0,14.0,,,,,,,,,4.0,9,9,4,4,4,9,4,4,4,9,E,H,4,3,2,2,2,3,4,3,3,4,3,3,4,4,4,4,3,3,4,3,3,4,T,Q,E,0,,,,,,,,,0,,,5.0,7.0,9.0,11.0,,,,,,,,5,6.0,7.0,2,,,,,,4.0,6.0,,,,,,,5,5,2,1,2,1,2,5,1,2,1,1,1,5,,,,,,1,1.0,3.0,4,4.0,5.0,6.0,7.0,,,,,,,,,,85284.0,485
487,4,4.0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,9,4,4,4,E,F,5,2,3.0,4.0,10.0,12.0,13.0,14.0,,,,,,,,,4.0,4,9,9,4,4,9,4,9,4,9,E,F,4,4,5,9,4,4,4,4,4,4,4,4,5,5,4,4,4,9,4,4,4,4,Z,,,0,,,,,,,,,6,9.0,2.0,2.0,5.0,,,,,,,,,,0,,,1,4.0,4.0,4.0,4.0,4.0,1.0,11.0,,,,,,,3,2,2,2,2,1,2,4,1,1,1,1,1,2,,,,,,1,2.0,0.0,4,4.0,1.0,2.0,8.0,,,,,,,,,,85284.0,486
488,4,4.0,4,4,4,4,9,3,3,9,2,3,4,4,3,2,2,9,4,4,3,C,B,4,2,3.0,14.0,,,,,,,,,,,,,3.0,3,4,3,3,9,3,3,4,3,3,J,,3,3,3,2,3,1,2,2,3,3,3,4,4,5,4,4,2,3,3,3,3,3,R,H,,0,,,,,,,,,0,,,5.0,9.0,,,,,,,,,,5,9.0,,1,4.0,3.0,1.0,1.0,2.0,8.0,9.0,,,,,,,5,5,1,2,2,1,2,4,1,1,1,2,1,2,,,,,,2,,,9,3.0,1.0,2.0,,,,,,,,,,,85284.0,487
489,4,4.0,4,4,4,3,4,4,3,3,4,4,3,3,4,4,4,4,4,4,3,G,A,4,2,3.0,4.0,5.0,9.0,11.0,13.0,,,,,,,,,5.0,5,3,5,5,5,5,5,5,5,9,C,A,5,4,4,3,3,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,D,E,K,0,,,,,,,,,0,,,5.0,8.0,9.0,,,,,,,,,5,8.0,3.0,2,,,,,,10.0,11.0,,,,,,,3,3,2,1,2,1,1,3,1,1,1,1,1,2,,,,,,1,3.0,4.0,5,5.0,1.0,2.0,8.0,,,,,,,,,,85282.0,488
490,4,4.0,4,4,4,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,E,G,4,1,3.0,5.0,6.0,10.0,11.0,,,,,,,,,,4.0,4,4,4,5,5,3,3,3,3,3,E,F,3,4,4,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,4,4,R,Q,K,0,,,,,,,,,9,7.0,4.0,4.0,5.0,7.0,,,,,,,,,0,,,1,4.0,4.0,4.0,4.0,4.0,3.0,8.0,,,,,,,5,4,1,1,2,1,2,4,1,1,1,1,1,2,,,,,,1,1.0,1.0,4,4.0,1.0,2.0,6.0,,,,,,,,,,85281.0,489
491,4,4.0,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,4,4,1,B,G,3,3,4.0,10.0,12.0,13.0,14.0,15.0,,,,,,,,,4.0,4,3,3,3,3,3,4,3,4,3,B,F,4,3,3,3,3,3,4,2,3,3,3,4,4,4,4,4,4,4,4,4,3,4,H,Q,T,0,,,,,,,,,2,3.0,6.0,2.0,5.0,,,,,,,,,,5,2.0,7.0,2,,,,,,8.0,9.0,,,,,,,5,5,2,2,2,1,1,5,1,1,1,2,1,2,,,,,,1,1.0,1.0,4,4.0,4.0,8.0,,,,,,,,,,,85283.0,490
492,5,5.0,5,4,5,4,4,4,4,4,4,4,5,5,4,4,4,9,5,5,2,G,B,4,1,2.0,3.0,6.0,11.0,12.0,14.0,,,,,,,,,4.0,5,5,5,4,9,3,4,3,3,3,Z,,4,4,4,4,4,4,4,4,4,4,3,4,4,5,4,4,4,4,4,4,4,4,R,Q,O,0,,,,,,,,,0,,,1.0,5.0,7.0,11.0,,,,,,,,0,,,1,4.0,4.0,4.0,4.0,4.0,1.0,11.0,,,,,,,3,7,1,1,1,1,2,5,1,1,1,2,1,3,,,,,,1,3.0,1.0,5,4.0,1.0,3.0,6.0,,,,,,,,,,85282.0,491
493,4,4.0,4,3,3,2,3,3,3,3,2,3,2,4,2,2,4,3,2,3,2,E,G,3,6,10.0,11.0,,,,,,,,,,,,,4.0,3,3,3,3,3,3,3,3,4,3,Z,,4,2,3,4,3,3,3,3,3,3,3,3,4,4,4,4,5,5,5,3,4,3,B,F,E,0,,,,,,,,,0,,,5.0,8.0,,,,,,,,,,0,,,2,,,,,,3.0,6.0,,,,,,,5,4,2,1,2,1,2,3,1,2,1,1,1,2,,,,,,1,2.0,2.0,4,4.0,2.0,4.0,9.0,,,,,,,,,,85281.0,492
494,2,2.0,2,2,2,1,2,2,2,2,1,1,2,2,3,3,2,9,2,1,1,E,F,3,2,,,,,,,,,,,,,,,1.0,4,2,2,2,2,2,2,2,2,2,J,A,2,2,1,1,1,1,2,2,1,1,4,1,1,1,2,2,2,2,2,1,5,2,R,T,,0,,,,,,,,,0,,,5.0,7.0,,,,,,,,,,5,7.0,,1,3.0,2.0,2.0,2.0,2.0,9.0,10.0,,,,,,,4,5,2,2,2,1,2,4,1,1,1,2,2,2,,,,,,2,,,9,3.0,5.0,11.0,,,,,,,,,,SAFETY                   ,85284.0,493
495,5,5.0,5,4,5,5,4,5,4,5,5,5,5,5,4,4,4,2,5,5,5,D,C,4,2,3.0,4.0,5.0,8.0,10.0,11.0,13.0,14.0,,,,,,,5.0,5,9,4,9,5,9,9,9,5,9,D,,5,4,5,5,4,5,4,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,H,J,E,0,,,,,,,,,0,,,1.0,2.0,6.0,8.0,,,,,,,,6,2.0,1.0,2,,,,,,2.0,8.0,,,,,,,5,4,2,2,2,1,1,2,1,1,1,2,1,2,,,,,,1,1.0,0.0,3,3.0,1.0,,,,,,,,,,,,85283.0,494
496,5,4.0,4,3,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,Z,,4,2,3.0,4.0,7.0,11.0,12.0,13.0,15.0,,,,,,,,4.0,4,9,9,3,4,9,4,4,4,9,Z,,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,Z,,,2,,,,,,,,,0,,,2.0,5.0,7.0,9.0,,,,,,,,0,,,2,,,,,,0.0,,,,,,,,2,6,2,2,2,1,2,2,1,1,1,1,1,5,,,,,,2,,,4,9.0,0.0,,,,,,,,,,,,85284.0,495
497,3,4.0,4,3,3,3,3,4,3,3,3,3,3,3,5,5,5,4,4,4,4,E,G,4,3,4.0,5.0,8.0,,,,,,,,,,,,4.0,3,3,4,3,3,3,4,3,3,3,A,D,3,4,4,3,3,4,3,3,4,4,4,4,4,4,3,1,3,3,3,3,3,5,P,O,Q,0,,,,,,,,,0,,,1.0,5.0,9.0,,,,,,,,,1,5.0,9.0,1,3.0,3.0,3.0,3.0,3.0,5.0,9.0,,,,,,,4,4,1,2,2,1,9,4,1,1,9,9,1,2,,,,,,2,,,9,9.0,1.0,6.0,7.0,,,,,,,,,,85284.0,496
498,4,4.0,4,5,4,4,3,3,3,9,3,3,3,9,3,4,4,9,4,4,4,E,A,4,3,4.0,11.0,,,,,,,,,,,,,4.0,9,9,4,9,3,9,9,9,9,9,A,F,9,4,4,4,3,4,3,3,4,4,4,4,4,3,3,3,3,3,3,3,3,4,Q,D,S,0,,,,,,,,,0,,,7.0,9.0,,,,,,,,,,7,9.0,3.0,2,,,,,,10.0,11.0,,,,,,,3,4,1,1,2,1,2,5,1,1,1,1,1,2,,,,,,1,4.0,2.0,5,5.0,1.0,6.0,7.0,,,,,,,,,,85281.0,497
499,4,4.0,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,3,E,A,4,2,3.0,4.0,7.0,10.0,12.0,,,,,,,,,,4.0,4,4,4,4,4,4,4,4,4,4,F,K,4,3,3,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,I,E,C,0,,,,,,,,,0,,,5.0,7.0,,,,,,,,,,0,,,2,,,,,,0.0,,,,,,,,4,6,2,2,2,1,2,3,1,1,1,1,1,5,,,,,,1,2.0,2.0,4,4.0,4.0,6.0,8.0,10.0,,,,,,,,,85283.0,498
500,5,5.0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,4,4,A,F,2,2,3.0,4.0,11.0,,,,,,,,,,,,5.0,9,4,4,9,9,9,9,9,9,9,Z,,5,4,5,5,5,5,4,4,4,4,4,4,4,4,4,4,5,4,5,5,5,4,Z,,,0,,,,,,,,,0,,,1.0,5.0,7.0,,,,,,,,,5,1.0,7.0,2,,,,,,0.0,,,,,,,,5,5,1,1,2,1,2,5,1,1,1,1,1,2,,,,,,1,,,5,5.0,1.0,2.0,4.0,5.0,8.0,10.0,,,,,,,85284.0,499
501,4,4.0,4,4,4,2,4,4,5,5,4,4,4,4,5,5,5,5,2,4,4,D,C,3,2,3.0,5.0,7.0,10.0,,,,,,,,,,,4.0,4,4,5,4,3,3,4,5,5,5,B,F,5,5,5,5,4,5,4,4,4,5,5,5,5,5,4,5,3,5,3,5,4,5,Z,,,0,,,,,,,,,2,5.0,9.0,1.0,5.0,7.0,9.0,,,,,,,,0,,,2,,,,,,6.0,11.0,,,,,,,5,3,1,2,2,1,1,4,1,1,1,1,1,5,,,,,,2,,,9,9.0,1.0,2.0,9.0,,,,,,,,,,85282.0,500
502,3,3.0,3,3,3,3,9,9,9,9,9,3,9,3,3,3,3,3,3,3,2,G,E,4,0,,,,,,,,,,,,,,,3.0,3,3,3,3,3,3,3,9,3,9,E,B,3,3,9,2,9,3,9,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,E,R,T,4,9.0,,,,,,,,4,9.0,,2.0,5.0,8.0,,,,,,,,,0,,,1,4.0,3.0,3.0,3.0,3.0,4.0,7.0,,,,,,,5,6,1,2,2,1,1,3,1,1,1,1,1,2,,,,,,1,,,3,3.0,8.0,9.0,10.0,,,,,,,,,,85282.0,501
503,5,4.0,4,4,5,4,3,4,4,4,3,4,4,4,5,5,5,9,4,5,5,E,A,5,2,3.0,4.0,5.0,7.0,8.0,10.0,12.0,14.0,,,,,,,5.0,4,9,5,5,9,5,5,5,5,9,A,E,5,4,4,9,4,5,5,4,4,4,4,4,5,5,5,4,4,4,5,4,5,5,Q,T,B,0,,,,,,,,,9,6.0,2.0,2.0,5.0,6.0,7.0,8.0,9.0,,,,,,5,2.0,8.0,1,4.0,5.0,5.0,5.0,5.0,8.0,,,,,,,,5,3,1,2,2,1,2,4,1,1,1,1,1,2,,,,,,1,3.0,2.0,5,5.0,1.0,2.0,7.0,,,,,,,,,,85284.0,502
504,5,5.0,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5,3,5,2,5,F,D,4,2,3.0,4.0,10.0,11.0,12.0,,,,,,,,,,2.0,4,4,4,4,4,9,4,5,4,5,A,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,Z,,,0,,,,,,,,,7,,,9.0,,,,,,,,,,,0,,,2,,,,,,0.0,,,,,,,,5,4,2,1,2,1,2,5,1,1,1,1,1,2,,,,,,1,6.0,0.0,5,4.0,11.0,,,,,,,,,,,HOMELESS PROBLEM         ,85283.0,503
505,4,4.0,4,3,4,4,3,3,4,3,3,3,9,9,4,3,3,4,4,4,4,E,F,3,11,,,,,,,,,,,,,,,9.0,3,9,9,9,9,9,9,4,3,2,K,I,3,3,2,4,2,3,9,3,3,3,9,3,4,4,4,3,4,3,4,3,9,9,H,L,N,0,,,,,,,,,3,7.0,,5.0,7.0,9.0,,,,,,,,,5,3.0,,2,,,,,,8.0,12.0,,,,,,,5,9,1,1,2,9,1,5,1,2,1,2,1,2,,,,,,1,2.0,3.0,4,4.0,0.0,,,,,,,,,,,,85282.0,504
